2026-03-16 14:14:34,828 | database | INFO | Database initialized at d:\JO1\data\signals.db
2026-03-16 14:14:39,754 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-16 14:14:39,755 | apscheduler.scheduler | INFO | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-16 14:14:39,758 | __main__ | INFO | Joker Trading Bot started successfully!
2026-03-16 14:14:45,452 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getMe "HTTP/1.1 200 OK"
2026-03-16 14:14:45,454 | apscheduler.scheduler | INFO | Added job "check_and_send_signals" to job store "default"
2026-03-16 14:14:45,455 | apscheduler.scheduler | INFO | Added job "check_and_send_results" to job store "default"
2026-03-16 14:14:45,456 | apscheduler.scheduler | INFO | Scheduler started
2026-03-16 14:14:45,457 | telegram.ext.Application | INFO | Application started
2026-03-16 14:14:45,657 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/deleteWebhook "HTTP/1.1 200 OK"
2026-03-16 14:14:45,949 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/sendMessage "HTTP/1.1 200 OK"
2026-03-16 14:14:45,950 | __main__ | INFO | Startup message sent to Telegram.
2026-03-16 14:14:49,755 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:15:34 UTC)" (scheduled at 2026-03-16 11:14:49.752652+00:00)
2026-03-16 14:14:57,051 | __main__ | INFO | Active trade set: AUDUSD PUT
2026-03-16 14:14:57,053 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:14:57,812 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/sendMessage "HTTP/1.1 200 OK"
2026-03-16 14:14:57,814 | apscheduler.scheduler | INFO | Added job "entry_AUDUSD_11:19" to job store "default"
2026-03-16 14:14:57,816 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:15:34 UTC)" executed successfully
2026-03-16 14:15:07,372 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:15:09,772 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:15:39 UTC)" (scheduled at 2026-03-16 11:15:09.755577+00:00)
2026-03-16 14:15:09,774 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:15:39 UTC)" executed successfully
2026-03-16 14:15:17,610 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:15:27,852 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:15:34,764 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:16:19 UTC)" (scheduled at 2026-03-16 11:15:34.752652+00:00)
2026-03-16 14:15:34,766 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:15:34,766 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:16:19 UTC)" executed successfully
2026-03-16 14:15:38,091 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:15:39,767 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:16:09 UTC)" (scheduled at 2026-03-16 11:15:39.755577+00:00)
2026-03-16 14:15:39,768 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:16:09 UTC)" executed successfully
2026-03-16 14:15:48,276 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:15:58,433 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
